contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,redemption_probability_7,redemption_probability_8,probability_mass_error,scenario_id,replication,risk_free_rate,volatility_1,volatility_2,volatility_3,correlation_12,correlation_13,correlation_23,ki_barrier_ratio,sensitivity_dimension,sensitivity_level
RC-A-KI-65,0.0875,96.82755257740128,0.0,8.47241085052261,60.46787031561182,34.64329914159772,13.906745894065493,-7.356357027730702,87.75481242947885,96.22722328000145,96.22722328000145,0.0,0.7685546875,0.37646484375,0.126463875669404,0.0,4096,252,514,632174086,0.34667990001617,1.0,1.0,1.0,0.0,0.373779296875,0.09716796875,0.053466796875,0.04345703125,0.032470703125,0.023193359375,0.02197265625,0.0,RC-A-KI-65,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.65,KI barrier,65%
RC-A-KI-65,0.0875,96.32049084873043,0.0,8.428042949263912,59.75390516009619,35.31729328832141,13.12041938955452,-8.004628802747314,87.06656964567027,95.49461259493418,95.49461259493418,0.0,0.751953125,0.3837890625,0.13427496309836548,0.0,4096,252,514,1034107096,0.34351409994997084,1.0,1.0,1.0,0.0,0.368896484375,0.090576171875,0.05908203125,0.044189453125,0.031494140625,0.02197265625,0.02001953125,0.0,RC-A-KI-65,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.65,KI barrier,65%
RC-A-KI-65,0.0875,97.29218724586737,0.0,8.513066384013394,59.60033288181995,35.474558589223605,14.288675910542251,-7.7408997457906805,87.33399172525287,95.84705810926627,95.84705810926627,0.0,0.7646484375,0.385498046875,0.13018525570546402,0.0,4096,252,514,3743933553,0.3317288999678567,1.0,1.0,1.0,0.0,0.375732421875,0.0869140625,0.056640625,0.04248046875,0.02783203125,0.02490234375,0.01708984375,0.0,RC-A-KI-65,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.65,KI barrier,65%
RC-A-KI-65,0.0875,97.35180842893729,0.0,8.518283237532012,59.01979680717888,36.01375390660256,13.974145308737862,-7.849991598647085,87.18355911513436,95.70184235266638,95.70184235266638,0.0,0.755126953125,0.391357421875,0.13165077353669402,0.0,4096,252,514,4003352508,0.3375153999659233,1.0,1.0,1.0,0.0,0.359619140625,0.09912109375,0.058349609375,0.037109375,0.029052734375,0.025390625,0.02001953125,0.0,RC-A-KI-65,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.65,KI barrier,65%
RC-A-KI-85,0.0875,96.82755257740128,0.0,8.47241085052261,60.46787031561182,34.64329914159772,0.06739941467236911,-9.453386037689471,85.65778341952007,94.13019427004268,94.13019427004268,0.0,0.438720703125,0.37646484375,0.14812123407761602,0.0,4096,252,514,632174086,0.3498189999954775,1.0,1.0,1.0,0.0,0.373779296875,0.09716796875,0.053466796875,0.04345703125,0.032470703125,0.023193359375,0.02197265625,0.0,RC-A-KI-85,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.85,KI barrier,85%
RC-A-KI-85,0.0875,96.32049084873043,0.0,8.428042949263912,59.75390516009619,35.31729328832141,0.06739941467236911,-9.96686959298413,85.10432885543347,93.53237180469738,93.53237180469738,0.0,0.428955078125,0.3837890625,0.15464696050978305,0.0,4096,252,514,1034107096,0.371692200016696,1.0,1.0,1.0,0.0,0.368896484375,0.090576171875,0.05908203125,0.044189453125,0.031494140625,0.02197265625,0.02001953125,0.0,RC-A-KI-85,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.85,KI barrier,85%
RC-A-KI-85,0.0875,97.29218724586737,0.0,8.513066384013394,59.60033288181995,35.474558589223605,0.06739941467236911,-9.904675072134626,85.17021639890893,93.68328278292233,93.68328278292233,0.0,0.42578125,0.385498046875,0.1524252257132906,0.0,4096,252,514,3743933553,0.3820623999927193,1.0,1.0,1.0,0.0,0.375732421875,0.0869140625,0.056640625,0.04248046875,0.02783203125,0.02490234375,0.01708984375,0.0,RC-A-KI-85,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.85,KI barrier,85%
RC-A-KI-85,0.0875,97.35180842893729,0.0,8.518283237532012,59.01979680717888,36.01375390660256,0.02246647155745637,-10.014259875120981,85.01929083866045,93.53757407619247,93.53757407619247,0.0,0.425048828125,0.391357421875,0.15388218671124976,0.0,4096,252,514,4003352508,0.3617633000249043,1.0,1.0,1.0,0.0,0.359619140625,0.09912109375,0.058349609375,0.037109375,0.029052734375,0.025390625,0.02001953125,0.0,RC-A-KI-85,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.85,KI barrier,85%
RC-A-autocall-early,0.0875,78.51226410406065,0.0,6.869823109105306,66.73417316120026,29.228879496250737,2.808308944682046,-7.825091580162757,88.13796107728824,95.00778418639355,95.00778418639355,0.0,0.67236328125,0.317626953125,0.151085171954661,0.0,4096,252,514,632174086,0.3639076999970712,1.0,1.0,1.0,0.37109375,0.122802734375,0.069580078125,0.0400390625,0.0341796875,0.02490234375,0.019775390625,0.018310546875,0.0,RC-A-autocall-early,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,first date
RC-A-autocall-early,0.0875,77.98276767258133,0.0,6.823492171350866,66.3985306864079,29.543410098055126,2.314046570418006,-8.261685318698039,87.68025546576497,94.50374763711584,94.50374763711584,0.0,0.6630859375,0.321044921875,0.1579803449136448,0.0,4096,252,514,1034107096,0.369753299979493,1.0,1.0,1.0,0.371826171875,0.117919921875,0.06640625,0.04541015625,0.033203125,0.025390625,0.018798828125,0.01708984375,0.0,RC-A-autocall-early,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,first date
RC-A-autocall-early,0.0875,79.90973958576541,0.0,6.992102213754473,65.35190947337114,30.531934846583205,2.6510436437798517,-8.431728141605568,87.45211617834877,94.44421839210325,94.44421839210327,-1.4210854715202004e-14,0.65380859375,0.331787109375,0.15702571284422534,0.0,4096,252,514,3743933553,0.3624983999761753,1.0,1.0,1.0,0.36474609375,0.123046875,0.059326171875,0.0458984375,0.03271484375,0.021484375,0.02099609375,0.0146484375,0.0,RC-A-autocall-early,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,first date
RC-A-autocall-early,0.0875,79.43611847339062,0.0,6.950660366421679,65.0194765578111,30.846465448387598,2.3814459850903753,-8.490640758554985,87.37530124764372,94.32596161406539,94.32596161406538,1.4210854715202004e-14,0.64990234375,0.335205078125,0.1589289481281148,0.0,4096,252,514,4003352508,0.3931725000147708,1.0,1.0,1.0,0.366455078125,0.114501953125,0.065185546875,0.046875,0.02734375,0.0234375,0.02099609375,0.016845703125,0.0,RC-A-autocall-early,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,first date
RC-A-autocall-delayed,0.0875,125.90121291018016,0.0,11.016356129640764,50.88832475765205,42.933427146299124,5.9985479058408515,-10.70135357964245,83.12039832430872,94.1367544539495,94.1367544539495,0.0,0.55322265625,0.466552734375,0.13407020699422045,0.0,4096,252,514,632174086,0.3539488000096753,1.0,1.0,1.0,0.0,0.0,0.0,0.37255859375,0.07861328125,0.0498046875,0.032470703125,0.030517578125,0.0,RC-A-autocall-delayed,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,fourth date
RC-A-autocall-delayed,0.0875,124.77445527793057,0.0,10.917764836818924,50.815960262165476,43.00082656097149,5.257154344444791,-11.085578116136167,82.7312087070008,93.64897354381972,93.64897354381972,0.0,0.543212890625,0.46728515625,0.13840005355690466,0.0,4096,252,514,1034107096,0.3535452999640256,1.0,1.0,1.0,0.0,0.0,0.0,0.3720703125,0.077392578125,0.04931640625,0.033935546875,0.02734375,0.0,RC-A-autocall-delayed,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,fourth date
RC-A-autocall-delayed,0.0875,126.77915833431229,0.0,11.093176354252325,49.049928852941754,44.708278399338184,5.953614962725938,-11.300981804496622,82.45722544778332,93.55040180203564,93.55040180203565,-1.4210854715202004e-14,0.5302734375,0.48583984375,0.13837270086583942,0.0,4096,252,514,3743933553,0.42633119999663904,1.0,1.0,1.0,0.0,0.0,0.0,0.35986328125,0.078125,0.04248046875,0.03369140625,0.026123046875,0.0,RC-A-autocall-delayed,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,fourth date
RC-A-autocall-delayed,0.0875,124.78691709224623,0.0,10.918855245571544,50.2414682211959,43.56248834990791,5.32455375911716,-11.209137434741502,82.5948191363623,93.51367438193385,93.51367438193384,1.4210854715202004e-14,0.536865234375,0.473388671875,0.13947921199761082,0.0,4096,252,514,4003352508,0.3858889999683015,1.0,1.0,1.0,0.0,0.0,0.0,0.376708984375,0.069580078125,0.043701171875,0.03662109375,0.025634765625,0.0,RC-A-autocall-delayed,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,autocall schedule,fourth date
