contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,probability_mass_error,method,replication,outer_method,endpoint_dimension,paired_bernoulli_total_value,conditional_minus_paired_bernoulli,inner_paths,bridge_substeps,bessel_terms,bridge_bank_seed,redemption_probability_7,redemption_probability_8
RC-A,0.0875,96.95612737966422,0.0,8.48366114572062,59.70189502249599,35.362226231436324,2.875708359354415,-9.359292476821016,85.7048287771113,94.18848992283192,94.18848992283192,0.0,0.60205078125,0.38427734375,0.14743958540042718,0.0,2048,252.0,514.0,1932058501,0.20953460002783686,1.0,1.0,1.0,0.0,0.36572265625,0.10009765625,0.05224609375,0.03759765625,0.0361328125,0.0,M0,2,mc-direct,,,,,,,,0.02392578125,0.02294921875
RC-A,0.0875,96.27858677939092,0.0,8.424376343196705,60.12571076948023,34.957829743402115,3.100373074928979,-9.649636944562108,85.43390356832023,93.85827991151695,93.85827991151695,0.0,0.6103515625,0.3798828125,0.15129113252416101,0.0,2048,252.0,514.0,982653157,0.4299580000224523,1.0,1.0,1.0,0.0,0.36669921875,0.09765625,0.05859375,0.03857421875,0.03564453125,0.0,M1,2,rqmc-direct,1542.0,,,,,,,0.02294921875,0.01806640625
RC-A,0.0875,96.37824940957218,0.0,8.433096823337564,59.56673922900997,35.49702506078106,3.235171904273717,-9.675889260184327,85.3878750296067,93.82097185294427,93.82097185294427,0.0,0.60498046875,0.3857421875,0.15161226791220422,0.0,2048,252.0,514.0,1117859179,0.23476379999192432,1.0,1.0,1.0,0.0,0.37158203125,0.08837890625,0.0576171875,0.04296875,0.02783203125,0.0,M0,3,mc-direct,,,,,,,,0.02587890625,0.01904296875
RC-A,0.0875,95.72347995367744,0.0,8.375804495946776,59.71126536929336,35.362226231436324,3.0105071886991537,-9.554607200073189,85.51888440065649,93.89468889660327,93.89468889660327,0.0,0.60302734375,0.38427734375,0.15128070569886531,0.0,2048,252.0,514.0,2746512416,0.4690196000155993,1.0,1.0,1.0,0.0,0.37548828125,0.09033203125,0.052734375,0.03857421875,0.0322265625,0.0,M1,3,rqmc-direct,1542.0,,,,,,,0.0263671875,0.0224609375
RC-A,0.0875,97.65969276037173,0.0,8.545223116532526,59.33922810104048,35.72168977635563,3.287662401351083,-9.459518508336963,85.60139936905915,94.14662248559168,94.14662248559168,0.0,0.5995607963884811,0.38818359375,0.14743647275514982,0.0,2048,,,1161165626,3.024418599961791,1.0,1.0,1.0,0.0,0.3681640625,0.09716796875,0.05029296875,0.0419921875,0.033203125,0.0,M2,0,mc,24.0,94.15273576961356,-0.00611328402187894,256.0,16.0,12.0,4162208925.0,0.02099609375,0.02685546875
RC-A,0.0875,94.7527935552006,0.0,8.290869436080051,59.18595774763442,35.90142154881528,2.5775394735401207,-9.841899374781814,85.24547992166788,93.53634935774792,93.53634935774794,-1.4210854715202004e-14,0.591267987218068,0.39013671875,0.15571593749092483,0.0,2048,,,3171180317,3.0991974000353366,1.0,1.0,1.0,0.0,0.373046875,0.09619140625,0.052734375,0.044921875,0.0283203125,0.0,M2,1,mc,24.0,93.52524285941524,0.011106498332679848,256.0,16.0,12.0,4162208925.0,0.0146484375,0.0283203125
RC-A,0.0875,97.02133643099424,0.0,8.489366937711996,58.654394635513924,36.39568392307932,2.7153077849803773,-9.914944410913662,85.13513414767958,93.62450108539157,93.62450108539157,0.0,0.5879805882779083,0.3955078125,0.15321233863741873,0.0,2048,,,3186562023,2.9754407000145875,1.0,1.0,1.0,0.0,0.3759765625,0.091796875,0.05029296875,0.03466796875,0.02587890625,0.0,M2,2,mc,24.0,93.58967055927667,0.03483052611490223,256.0,16.0,12.0,4162208925.0,0.02587890625,0.02294921875
RC-A,0.0875,96.95223607976651,0.0,8.483320656979568,58.474522437164595,36.53048275242406,2.6165377420045424,-9.823126888023896,85.18187830156475,93.66519895854432,93.66519895854432,0.0,0.5842423141577359,0.39697265625,0.15283940110719862,0.0,2048,,,2803293193,3.03930709999986,1.0,1.0,1.0,0.0,0.359375,0.09521484375,0.056640625,0.0341796875,0.033203125,0.0,M2,3,mc,24.0,93.64723382387231,0.017965134672010663,256.0,16.0,12.0,4162208925.0,0.0244140625,0.02197265625
RC-A,0.0875,97.55677133451755,0.0,8.536217491770286,61.36146117098244,33.78957322241438,3.047427452962636,-8.918210140378985,86.23282425301784,94.76904174478813,94.76904174478813,0.0,0.6143939263435771,0.3671875,0.14111963279078976,0.0,2048,,,3511224607,3.0185203999863006,1.0,1.0,1.0,0.0,0.38037109375,0.09375,0.05908203125,0.04345703125,0.02783203125,0.0,M2,4,mc,24.0,94.78069188579894,-0.011650141010818515,256.0,16.0,12.0,4162208925.0,0.0283203125,0.02099609375
RC-A,0.0875,97.22873925290673,0.0,8.507514684629339,59.31087472684182,35.72168977635563,2.8464837629385844,-9.66517916359323,85.36738533960423,93.87490002423357,93.87490002423357,0.0,0.586462186260992,0.38818359375,0.1504968055004202,0.0,2048,,,3643681942,3.0912718000472523,1.0,1.0,1.0,0.0,0.349609375,0.10595703125,0.060546875,0.0419921875,0.03173828125,0.0,M2,5,mc,24.0,93.86812688094165,0.006773143291923134,256.0,16.0,12.0,4162208925.0,0.02197265625,0.01904296875
RC-A,0.0875,96.30556026801179,0.0,8.42673652345103,59.66260822287745,35.40715917455124,2.8172648934616866,-9.64820347425892,85.42156392316977,93.8483004466208,93.8483004466208,0.0,0.599270303594327,0.384765625,0.1513768886890792,0.0,2048,,,277371242,3.07309040002292,1.0,1.0,1.0,0.0,0.36474609375,0.099609375,0.05615234375,0.03759765625,0.03759765625,0.0,M3,0,rqmc,24.0,93.84284036222083,0.00546008439997081,256.0,16.0,12.0,4162208925.0,0.01953125,0.01904296875
RC-A,0.0875,97.04451183056318,0.0,8.491394785174277,59.98120535187174,35.09262857274685,2.4296884288413354,-9.623637297475383,85.4501966271432,93.94159141231748,93.94159141231748,0.0,0.5980075060177901,0.38134765625,0.1499291726899541,0.0,2048,,,2948983801,3.100345399987418,1.0,1.0,1.0,0.0,0.3662109375,0.08935546875,0.06591796875,0.04150390625,0.03515625,0.0,M3,1,rqmc,24.0,93.92274083151426,0.018850580803217554,256.0,16.0,12.0,4162208925.0,0.0205078125,0.01708984375
RC-A,0.0875,96.92334866971521,0.0,8.480793008600081,59.19406895148539,35.85648860570037,2.7539126676598205,-9.762296029276259,85.2882615279095,93.76905453650957,93.7690545365096,-2.842170943040401e-14,0.5942178501644921,0.3896484375,0.15178735231511198,0.0,2048,,,1311350433,3.0875654999981634,1.0,1.0,1.0,0.0,0.3740234375,0.08544921875,0.05419921875,0.04052734375,0.03271484375,0.0,M3,2,rqmc,24.0,93.7801069536925,-0.011052417182924046,256.0,16.0,12.0,4162208925.0,0.0234375,0.021484375
RC-A,0.0875,95.95406897015667,0.0,8.395981034888708,60.008900958372564,35.09262857274685,2.5618497863446725,-9.591754584376421,85.509774946743,93.9057559816317,93.9057559816317,0.0,0.6000975239387512,0.38134765625,0.15101209577432,0.0,2048,,,593475471,3.1390664000064135,1.0,1.0,1.0,0.0,0.37109375,0.10009765625,0.05712890625,0.03857421875,0.02783203125,0.0,M3,3,rqmc,24.0,93.92610874241306,-0.020352760781364054,256.0,16.0,12.0,4162208925.0,0.02392578125,0.02001953125
RC-A,0.0875,97.01785853869744,0.0,8.489062622136025,59.06253565001373,35.9912874350451,2.792759293066694,-9.68610985992613,85.3677132251327,93.85677584726872,93.85677584726874,-1.4210854715202004e-14,0.5927579725246529,0.39111328125,0.1508205498993871,0.0,2048,,,1064473599,3.017289300041739,1.0,1.0,1.0,0.0,0.36962890625,0.09130859375,0.05615234375,0.0390625,0.033203125,0.0,M3,4,rqmc,24.0,93.83187997676873,0.024895870499989314,256.0,16.0,12.0,4162208925.0,0.01953125,0.02392578125
RC-A,0.0875,97.10996933306443,0.0,8.497122316643138,59.563934103592274,35.49702506078107,2.865929917523916,-9.542842451514364,85.51811671285898,94.01523902950213,94.01523902950213,0.0,0.5970036290663507,0.3857421875,0.14912869797612183,0.0,2048,,,2727588683,3.1254744000034407,1.0,1.0,1.0,0.0,0.3740234375,0.0859375,0.05517578125,0.04248046875,0.03076171875,0.0,M3,5,rqmc,24.0,94.0507966222934,-0.035557592791278125,256.0,16.0,12.0,4162208925.0,0.02587890625,0.01904296875
