Method,N,Ticker,Metric,Mean_estimate,Analytic,Replication_SD,Mean_runtime_seconds,RMSE,Bias,Relative_RMSE,SE_of_replication_mean
RQMC,16384,SPX Index,vega,2830.014781121623,2829.6360448038345,6.504245396939896,0.0823730250049266,6.30908661143194,0.37873631778847994,0.0022296459726746662,1.626061349234974
RQMC,65536,NDX Index,delta,0.6012075949726337,0.6016489211760171,0.0011694713308937404,0.32012296250104555,0.0012152995770441778,-0.00044132620338344086,0.00201994806982897,0.0002923678327234351
RQMC,65536,NDX Index,gamma,5.160010372377167e-05,5.2107169399970926e-05,1.4163953914254115e-06,0.32012296250104555,1.462157826904249e-06,-5.070656761992545e-07,0.028060588278761213,3.540988478563529e-07
RQMC,65536,NDX Index,price,3368.2208222204536,3367.4914742178444,3.479598740409118,0.32012296250104555,3.447148160585172,0.7293480026091856,0.001023654606693794,0.8698996851022796
RQMC,65536,NDX Index,vega,10739.255117359984,10732.284898910899,16.777567621241875,0.32012296250104555,17.677041524474564,6.970218449085223,0.0016470902227230673,4.194391905310469
RQMC,65536,RTY Index,delta,0.5855620738664175,0.5854387475048874,0.0007339244917901252,0.32012296250104555,0.0007212414495989017,0.0001233263615300073,0.0012319673965428476,0.0001834811229475313
RQMC,65536,RTY Index,gamma,0.0005822916352517547,0.0005906533709811822,1.243380553408454e-05,0.32012296250104555,1.4657956012503948e-05,-8.361735729427492e-06,0.024816511227480898,3.108451383521135e-06
RQMC,65536,RTY Index,price,292.94714694916627,292.88192219894063,0.26832079957856936,0.32012296250104555,0.26786296181178043,0.06522475022563867,0.0009145766314311266,0.06708019989464234
RQMC,65536,RTY Index,vega,1128.4905023512517,1128.2462808147527,1.3087393365398432,0.32012296250104555,1.2905010244896227,0.24422153649902612,0.0011438114589287184,0.3271848341349608
RQMC,65536,SPX Index,delta,0.5950319114091573,0.5951256241492728,0.0009571465573163258,0.32012296250104555,0.0009314792075409016,-9.371274011549247e-05,0.0015651808118200983,0.00023928663932908144
RQMC,65536,SPX Index,gamma,0.0002812764893679296,0.0002810396349131103,7.92079209922257e-06,0.32012296250104555,7.672930554516325e-06,2.368544548193201e-07,0.027301951758116196,1.9801980248056424e-06
RQMC,65536,SPX Index,price,644.2876314158555,644.2866661564472,0.39815810930265405,0.32012296250104555,0.3855161400369374,0.0009652594083036092,0.000598361195858313,0.09953952732566351
RQMC,65536,SPX Index,vega,2829.953144542827,2829.6360448038345,2.8780866594036962,0.32012296250104555,2.8046788831016563,0.31709973899251054,0.0009911800806510053,0.7195216648509241
