scenario,method,replication,asset,asset_index,bump,bump_label,active_asset,runtime_seconds,pricing_seed,bridge_bank_seed,greek,estimate_raw,estimate_reported,reported_unit
near-KI,M0,2,asset_1,1,0.005,0.50% spot,True,0.10687230003532022,1594336259,242366888,Delta,143.90600397983158,1.1008809304457117,PV per 1% relative spot move
near-KI,M0,2,asset_1,1,0.005,0.50% spot,True,0.10687230003532022,1594336259,242366888,Gamma,-3441.4986732768957,-0.20140510610684714,PV per squared 1% relative spot move
near-KI,M0,2,asset_1,1,0.01,1.00% spot,True,0.11806159996194765,1594336259,242366888,Delta,121.82057498071109,0.9319273986024399,PV per 1% relative spot move
near-KI,M0,2,asset_1,1,0.01,1.00% spot,True,0.11806159996194765,1594336259,242366888,Gamma,-251.7338388352175,-0.014732093583234017,PV per squared 1% relative spot move
near-KI,M0,2,asset_2,2,0.001,0.10% spot,False,0.1318001999752596,1594336259,242366888,Delta,3.336152909881207,0.03336152909881207,PV per 1% relative spot move
near-KI,M0,2,asset_2,2,0.001,0.10% spot,False,0.1318001999752596,1594336259,242366888,Gamma,2.8421709430404007e-08,2.8421709430404007e-12,PV per squared 1% relative spot move
near-KI,M0,2,asset_2,2,0.0025,0.25% spot,False,0.11014499998418614,1594336259,242366888,Delta,3.3361529098840492,0.03336152909884049,PV per 1% relative spot move
near-KI,M0,2,asset_2,2,0.0025,0.25% spot,False,0.11014499998418614,1594336259,242366888,Gamma,4.547473508864641e-09,4.547473508864641e-13,PV per squared 1% relative spot move
near-KI,M0,2,asset_2,2,0.005,0.50% spot,False,0.10784890002105385,1594336259,242366888,Delta,3.370187318103035,0.03370187318103035,PV per 1% relative spot move
near-KI,M0,2,asset_2,2,0.005,0.50% spot,False,0.10784890002105385,1594336259,242366888,Gamma,-23.254543270923023,-0.0023254543270923023,PV per squared 1% relative spot move
near-KI,M0,2,asset_2,2,0.01,1.00% spot,False,0.1153997000074014,1594336259,242366888,Delta,3.629810604338246,0.03629810604338246,PV per 1% relative spot move
near-KI,M0,2,asset_2,2,0.01,1.00% spot,False,0.1153997000074014,1594336259,242366888,Gamma,-78.42606443730915,-0.007842606443730915,PV per squared 1% relative spot move
near-KI,M0,2,asset_3,3,0.001,0.10% spot,False,0.12707569997292012,1594336259,242366888,Delta,2.8526322149531325,0.028526322149531325,PV per 1% relative spot move
near-KI,M0,2,asset_3,3,0.001,0.10% spot,False,0.12707569997292012,1594336259,242366888,Gamma,2.8421709430404007e-08,2.8421709430404007e-12,PV per squared 1% relative spot move
near-KI,M0,2,asset_3,3,0.0025,0.25% spot,False,0.12198019993957132,1594336259,242366888,Delta,5.2789220968492145,0.052789220968492145,PV per 1% relative spot move
near-KI,M0,2,asset_3,3,0.0025,0.25% spot,False,0.12198019993957132,1594336259,242366888,Gamma,1910.055496671248,0.1910055496671248,PV per squared 1% relative spot move
near-KI,M0,2,asset_3,3,0.005,0.50% spot,False,0.11922260001301765,1594336259,242366888,Delta,3.6251552759139827,0.03625155275913983,PV per 1% relative spot move
near-KI,M0,2,asset_3,3,0.005,0.50% spot,False,0.11922260001301765,1594336259,242366888,Gamma,609.5737369020071,0.06095737369020071,PV per squared 1% relative spot move
near-KI,M0,2,asset_3,3,0.01,1.00% spot,False,0.12381660006940365,1594336259,242366888,Delta,5.419336711339895,0.05419336711339895,PV per 1% relative spot move
near-KI,M0,2,asset_3,3,0.01,1.00% spot,False,0.12381660006940365,1594336259,242366888,Gamma,549.8129902508708,0.05498129902508708,PV per squared 1% relative spot move
near-KI,M0,2,parallel,0,0.001,0.10% parallel spot,False,0.11751990002812818,1594336259,242366888,Parallel Gamma,-17979.442636331554,-1.7979442636331555,PV per squared 1% parallel relative spot move
near-KI,M0,2,parallel,0,0.0025,0.25% parallel spot,False,0.12046250002458692,1594336259,242366888,Parallel Gamma,-8472.218840422556,-0.8472218840422556,PV per squared 1% parallel relative spot move
near-KI,M0,2,parallel,0,0.005,0.50% parallel spot,False,0.12717210000846535,1594336259,242366888,Parallel Gamma,-1365.251708880919,-0.1365251708880919,PV per squared 1% parallel relative spot move
near-KI,M0,2,parallel,0,0.01,1.00% parallel spot,False,0.12457929999800399,1594336259,242366888,Parallel Gamma,378.4037497254644,0.03784037497254644,PV per squared 1% parallel relative spot move
near-KI,M0,2,asset_1,1,0.0025,0.25 vol points,True,0.11453460005577654,1594336259,242366888,Vega,-33.01477060445279,-0.3301477060445279,PV per 1 volatility point
near-KI,M0,2,asset_1,1,0.005,0.50 vol points,True,0.12918930005980656,1594336259,242366888,Vega,-34.82983669755555,-0.3482983669755555,PV per 1 volatility point
near-KI,M0,2,asset_1,1,0.01,1.00 vol points,True,0.12160820001736283,1594336259,242366888,Vega,-37.78190560518553,-0.3778190560518553,PV per 1 volatility point
near-KI,M0,2,asset_2,2,0.0025,0.25 vol points,False,0.1350321999634616,1594336259,242366888,Vega,-9.016634010060898,-0.09016634010060898,PV per 1 volatility point
near-KI,M0,2,asset_2,2,0.005,0.50 vol points,False,0.12636880000354722,1594336259,242366888,Vega,-9.14972158934404,-0.0914972158934404,PV per 1 volatility point
near-KI,M0,2,asset_2,2,0.01,1.00 vol points,False,0.12002680002478883,1594336259,242366888,Vega,-9.462583785470713,-0.09462583785470713,PV per 1 volatility point
near-KI,M0,2,asset_3,3,0.0025,0.25 vol points,False,0.11018710001371801,1594336259,242366888,Vega,-7.76803244741302,-0.0776803244741302,PV per 1 volatility point
near-KI,M0,2,asset_3,3,0.005,0.50 vol points,False,0.11243009997997433,1594336259,242366888,Vega,-10.970697593297984,-0.10970697593297984,PV per 1 volatility point
near-KI,M0,2,asset_3,3,0.01,1.00 vol points,False,0.10692799999378622,1594336259,242366888,Vega,-8.723702309951165,-0.08723702309951165,PV per 1 volatility point
near-KI,M0,2,parallel,0,0.0025,0.25 parallel vol points,False,0.11863829998765141,1594336259,242366888,Parallel Vega,-49.74117042649766,-0.4974117042649766,PV per 1 parallel volatility point
near-KI,M0,2,parallel,0,0.005,0.50 parallel vol points,False,0.11432170000625774,1594336259,242366888,Parallel Vega,-54.83326549614134,-0.5483326549614134,PV per 1 parallel volatility point
near-KI,M0,2,parallel,0,0.01,1.00 parallel vol points,False,0.11886490002507344,1594336259,242366888,Parallel Vega,-55.52369711034899,-0.5552369711034899,PV per 1 parallel volatility point
