scenario,method,replication,greek,asset,bump,direction,total_value,runtime_seconds,pricing_seed,bridge_bank_seed
near-KI,M0,2,Spot,asset_1,0.0025,plus,84.05405869343859,0.057451199973002076,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.005,minus,83.222496017589,0.05717029998777434,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.005,plus,84.3233769480347,0.04970200004754588,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.01,minus,82.85881867568115,0.057532800012268126,1594336259,242366888
near-KI,M0,2,Spot,asset_1,0.01,plus,84.72267347288603,0.060528799949679524,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.001,minus,83.79477596816534,0.06732370000099763,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.001,plus,83.8014482739851,0.06447649997426197,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.0025,minus,83.78977173880051,0.05569830001331866,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.0025,plus,83.80645250334993,0.054446699970867485,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.005,minus,83.7809705026938,0.05100770003627986,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.005,plus,83.81467237587484,0.056841199984773993,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.01,minus,83.75789271180996,0.05619040003512055,1594336259,242366888
near-KI,M0,2,Spot,asset_2,0.01,plus,83.83048892389672,0.05920929997228086,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.001,minus,83.79525948886027,0.05976649996591732,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.001,plus,83.80096475329017,0.0673092000070028,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.0025,minus,83.79088373926018,0.06253539997851476,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.0025,plus,83.81727834974443,0.05944479996105656,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.005,minus,83.78760601640691,0.05958300002384931,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.005,plus,83.82385756916605,0.059639599989168346,1594336259,242366888
near-KI,M0,2,Spot,asset_3,0.01,minus,83.77140940347435,0.060232300020288676,1594336259,242366888
