Method,Barrier ratio,Replication,Spot bump,Gamma
Direct MC,0.85,13,0.001,-0.1291434898131882
Direct MC,0.85,13,0.0025,-0.0004009930441952747
Direct MC,0.85,13,0.005,0.007739185784451763
Direct MC,0.85,13,0.01,0.00697014818627828
Conditioned MC,0.85,13,0.001,0.013619660729879964
Conditioned MC,0.85,13,0.0025,0.016191514026274945
Conditioned MC,0.85,13,0.005,0.017052265068628003
Conditioned MC,0.85,13,0.01,0.017318636689777733
Direct MC,0.95,13,0.001,0.3740912196259493
Direct MC,0.95,13,0.0025,0.14268115216853516
Direct MC,0.95,13,0.005,0.11936775965488877
Direct MC,0.95,13,0.01,0.053330037842418854
Conditioned MC,0.95,13,0.001,0.014191887335623928
Conditioned MC,0.95,13,0.0025,0.014154684699576592
Conditioned MC,0.95,13,0.005,0.014158867876389536
Conditioned MC,0.95,13,0.01,0.014273320387999888
Direct MC,0.7,14,0.001,0.01533893280125653
Direct MC,0.7,14,0.0025,0.01765856103202168
Direct MC,0.7,14,0.005,0.01866452331236701
Direct MC,0.7,14,0.01,0.019050210760976682
Conditioned MC,0.7,14,0.001,0.015792696671823588
Conditioned MC,0.7,14,0.0025,0.017794645659392927
Conditioned MC,0.7,14,0.005,0.018691866390035727
Conditioned MC,0.7,14,0.01,0.019047042475309084
Direct MC,0.85,14,0.001,-0.019859170023295288
Direct MC,0.85,14,0.0025,0.07327119075489463
Direct MC,0.85,14,0.005,0.026838807495771277
Direct MC,0.85,14,0.01,0.013302756167616892
Conditioned MC,0.85,14,0.001,0.017159528480448213
Conditioned MC,0.85,14,0.0025,0.018532087823984966
Conditioned MC,0.85,14,0.005,0.01809131333875058
Conditioned MC,0.85,14,0.01,0.01756962640742543
Direct MC,0.95,14,0.001,0.040048668746184284
Direct MC,0.95,14,0.0025,-0.09267488127287038
Direct MC,0.95,14,0.005,-0.02249170608222073
Direct MC,0.95,14,0.01,0.009758527949721874
Conditioned MC,0.95,14,0.001,0.013690550249911834
Conditioned MC,0.95,14,0.0025,0.013695493029828754
Conditioned MC,0.95,14,0.005,0.013795865626192949
Conditioned MC,0.95,14,0.01,0.01395811449180595
Direct MC,0.7,15,0.001,0.02415025450925867
Direct MC,0.7,15,0.0025,0.022700775377785476
Direct MC,0.7,15,0.005,0.02147145048625987
Direct MC,0.7,15,0.01,0.021485028805924067
Conditioned MC,0.7,15,0.001,0.02405091254864544
Conditioned MC,0.7,15,0.0025,0.022629666047919272
Conditioned MC,0.7,15,0.005,0.0214198208826204
Conditioned MC,0.7,15,0.01,0.02146511315628885
Direct MC,0.85,15,0.001,-0.055403820434030124
Direct MC,0.85,15,0.0025,0.02895038230656155
Direct MC,0.85,15,0.005,0.02110721885553346
Direct MC,0.85,15,0.01,0.015251517866630593
Conditioned MC,0.85,15,0.001,0.02019849325591849
