Method,Sampling,Treatment,Barrier ratio,Replication,Seed / scramble,Price,Runtime seconds
Direct RQMC,RQMC,Direct,0.95,3,30260732,6.650186961323053,0.0684371999814175
Conditioned RQMC,RQMC,Conditioned,0.95,3,30260732,6.63472259294724,0.558500399987679
Direct RQMC,RQMC,Direct,0.7,4,30260733,8.681581431201398,0.07855070004006848
Conditioned RQMC,RQMC,Conditioned,0.7,4,30260733,8.681788118269818,0.5720749000320211
Direct RQMC,RQMC,Direct,0.85,4,30260733,8.574446953039597,0.08273750002263114
Conditioned RQMC,RQMC,Conditioned,0.85,4,30260733,8.566335653181866,0.5751329000340775
Direct RQMC,RQMC,Direct,0.95,4,30260733,6.648086197048716,0.07412869995459914
Conditioned RQMC,RQMC,Conditioned,0.95,4,30260733,6.629666490973939,0.5557945999898948
Direct RQMC,RQMC,Direct,0.7,5,30260734,8.69920219410961,0.07494190003490075
Conditioned RQMC,RQMC,Conditioned,0.7,5,30260734,8.699186183929623,0.6091575000318699
Direct RQMC,RQMC,Direct,0.85,5,30260734,8.57464327957233,0.0825743000023067
Conditioned RQMC,RQMC,Conditioned,0.85,5,30260734,8.569004302385473,0.5620740999584086
Direct RQMC,RQMC,Direct,0.95,5,30260734,6.628147014425024,0.0787568999803625
Conditioned RQMC,RQMC,Conditioned,0.95,5,30260734,6.628339366136156,0.579690299986396
Direct RQMC,RQMC,Direct,0.7,6,30260735,8.707717006254365,0.07796639995649457
Conditioned RQMC,RQMC,Conditioned,0.7,6,30260735,8.70769419384299,0.5805288000265136
Direct RQMC,RQMC,Direct,0.85,6,30260735,8.584427818046041,0.07964740000898018
Conditioned RQMC,RQMC,Conditioned,0.85,6,30260735,8.580402095984176,0.5709851999999955
Direct RQMC,RQMC,Direct,0.95,6,30260735,6.618873925961444,0.08837320003658533
Conditioned RQMC,RQMC,Conditioned,0.95,6,30260735,6.629410988082957,0.5915475999936461
Direct RQMC,RQMC,Direct,0.7,7,30260736,8.70480669966043,0.08350860001519322
Conditioned RQMC,RQMC,Conditioned,0.7,7,30260736,8.704741588810048,0.6294708999921568
Direct RQMC,RQMC,Direct,0.85,7,30260736,8.571757076909416,0.08038759999908507
Conditioned RQMC,RQMC,Conditioned,0.85,7,30260736,8.582523315433578,0.5789273999980651
Direct RQMC,RQMC,Direct,0.95,7,30260736,6.5849661608876655,0.07454910001251847
Conditioned RQMC,RQMC,Conditioned,0.95,7,30260736,6.632613488805766,0.5771122999722138
Direct RQMC,RQMC,Direct,0.7,8,30260737,8.677378415159174,0.08691359998192638
Conditioned RQMC,RQMC,Conditioned,0.7,8,30260737,8.677386351664946,0.6005923000047915
Direct RQMC,RQMC,Direct,0.85,8,30260737,8.535297734869905,0.08091729995794594
Conditioned RQMC,RQMC,Conditioned,0.85,8,30260737,8.551737807703157,0.5735064999898896
Direct RQMC,RQMC,Direct,0.95,8,30260737,6.586072099182159,0.07518440001877025
Conditioned RQMC,RQMC,Conditioned,0.95,8,30260737,6.621240015535655,0.5429426999762654
Direct RQMC,RQMC,Direct,0.7,9,30260738,8.703950935253786,0.07733399997232482
Conditioned RQMC,RQMC,Conditioned,0.7,9,30260738,8.703969776307677,0.6051351000205614
Direct RQMC,RQMC,Direct,0.85,9,30260738,8.579440237531697,0.08397229999536648
Conditioned RQMC,RQMC,Conditioned,0.85,9,30260738,8.576767079182714,0.6022885999991558
Direct RQMC,RQMC,Direct,0.95,9,30260738,6.632573110185312,0.07825150003191084
Conditioned RQMC,RQMC,Conditioned,0.95,9,30260738,6.634154082516933,0.537767400033772
Direct RQMC,RQMC,Direct,0.7,10,30260739,8.67744803174245,0.07946699997410178
Conditioned RQMC,RQMC,Conditioned,0.7,10,30260739,8.677139588549183,0.6020802999846637
Direct RQMC,RQMC,Direct,0.85,10,30260739,8.540473358541162,0.07480330002726987
