Method,Barrier ratio,Replication,Spot bump,Delta
Conditioned MC,0.7,12,0.01,0.5956388427174542
Direct MC,0.85,12,0.001,0.620245471878258
Direct MC,0.85,12,0.0025,0.6236295211797085
Direct MC,0.85,12,0.005,0.6114102067353109
Direct MC,0.85,12,0.01,0.6149478904851415
Conditioned MC,0.85,12,0.001,0.6152844052831874
Conditioned MC,0.85,12,0.0025,0.6151790736572309
Conditioned MC,0.85,12,0.005,0.6150673441122567
Conditioned MC,0.85,12,0.01,0.6151498268744091
Direct MC,0.95,12,0.001,0.7472488828907853
Direct MC,0.95,12,0.0025,0.7805529913023452
Direct MC,0.95,12,0.005,0.8213767486421375
Direct MC,0.95,12,0.01,0.7881375508992448
Conditioned MC,0.95,12,0.001,0.7892903199698109
Conditioned MC,0.95,12,0.0025,0.7892382249051284
Conditioned MC,0.95,12,0.005,0.7890756421449918
Conditioned MC,0.95,12,0.01,0.7883989155763618
Direct MC,0.7,13,0.001,0.5918128541730905
Direct MC,0.7,13,0.0025,0.5917196103962112
Direct MC,0.7,13,0.005,0.5916137873459579
Direct MC,0.7,13,0.01,0.5915456383306603
Conditioned MC,0.7,13,0.001,0.5918063705141208
Conditioned MC,0.7,13,0.0025,0.5917183444446756
Conditioned MC,0.7,13,0.005,0.5916312843669704
Conditioned MC,0.7,13,0.01,0.5915871284674488
Direct MC,0.85,13,0.001,0.6195400578951116
Direct MC,0.85,13,0.0025,0.6061156467879059
Direct MC,0.85,13,0.005,0.6064747063267237
Direct MC,0.85,13,0.01,0.6166994239097319
Conditioned MC,0.85,13,0.001,0.6125523539407762
Conditioned MC,0.85,13,0.0025,0.6123608699276204
Conditioned MC,0.85,13,0.005,0.6120917751420194
Conditioned MC,0.85,13,0.01,0.6119197078301477
Direct MC,0.95,13,0.001,0.7725239976227227
Direct MC,0.95,13,0.0025,0.7861687897199765
Direct MC,0.95,13,0.005,0.8009394368983598
Direct MC,0.95,13,0.01,0.8089177063913513
Conditioned MC,0.95,13,0.001,0.7976101814769132
Conditioned MC,0.95,13,0.0025,0.797566211433022
Conditioned MC,0.95,13,0.005,0.7973909776092913
Conditioned MC,0.95,13,0.01,0.796668450966032
Direct MC,0.7,14,0.001,0.5930075905733467
Direct MC,0.7,14,0.0025,0.5931425367610501
Direct MC,0.7,14,0.005,0.5932242969358441
Direct MC,0.7,14,0.01,0.593233912185708
Conditioned MC,0.7,14,0.001,0.5930700779380338
Conditioned MC,0.7,14,0.0025,0.5932034594192537
Conditioned MC,0.7,14,0.005,0.5932654364499843
Conditioned MC,0.7,14,0.01,0.5932629841399679
Direct MC,0.85,14,0.001,0.611442188352207
Direct MC,0.85,14,0.0025,0.617509323610264
Direct MC,0.85,14,0.005,0.6170636495188848
Direct MC,0.85,14,0.01,0.6155685235278616
Conditioned MC,0.85,14,0.001,0.6111974051100688
Conditioned MC,0.85,14,0.0025,0.6112493985746639
Conditioned MC,0.85,14,0.005,0.6114411569370208
Conditioned MC,0.85,14,0.01,0.6113750463432499
Direct MC,0.95,14,0.001,0.8578129029725856
Direct MC,0.95,14,0.0025,0.823521809998347
Direct MC,0.95,14,0.005,0.7867157959241968
Direct MC,0.95,14,0.01,0.7862285355427745
Conditioned MC,0.95,14,0.001,0.7899006048432522
Conditioned MC,0.95,14,0.0025,0.7898573819054757
Conditioned MC,0.95,14,0.005,0.7896969773004834
Conditioned MC,0.95,14,0.01,0.7890407793109433
