sampling,method,monitoring_steps,sample_size,mean_price,replication_sd,mean_runtime_seconds,se_of_mean,bias_vs_analytic,rmse_vs_analytic
RQMC,Direct,24,4096,6.248757805277371,0.05612569822275643,0.02871640003286302,0.028062849111378216,1.332348210545252,1.3332345347476862
RQMC,Direct,24,16384,6.197830172519379,0.030881935142527923,0.1042118999757804,0.015440967571263961,1.2814205777872596,1.2816996401713021
RQMC,Direct,24,65536,6.189023011131154,0.013821684289112297,0.4049372499866877,0.006910842144556149,1.272613416399035,1.2726697084539507
RQMC,Direct,52,1024,5.914151417639412,0.19903033660887484,0.022479200008092448,0.09951516830443742,0.997741822907293,1.012520889338264
RQMC,Direct,52,4096,5.890727038589112,0.08125029932440034,0.06591075003962032,0.04062514966220017,0.974317443856993,0.9768549993521319
RQMC,Direct,52,16384,5.854557030319301,0.04239857676131795,0.23733022500528023,0.021199288380658977,0.9381474355871813,0.9388657201018381
RQMC,Direct,52,65536,5.827471893969441,0.021242340180748057,0.9195304750464857,0.010621170090374029,0.9110622992373214,0.9112480128120226
RQMC,Direct,104,1024,5.597428994871436,0.21798563260094175,0.04100797502906062,0.10899281630047088,0.6810194001393164,0.7067005910436458
RQMC,Direct,104,4096,5.5932380539012705,0.06879999786934202,0.12225777501589619,0.03439999893467101,0.6768284591691511,0.6794459823425284
RQMC,Direct,104,16384,5.587882570076175,0.04260260712597732,0.44439512499957345,0.02130130356298866,0.6714729753440558,0.6724858312394744
RQMC,Direct,104,65536,5.57825580692432,0.01665965532880259,1.7192055250052363,0.008329827664401296,0.6618462121922004,0.6620034491450318
RQMC,Direct,252,1024,5.423786252345709,0.11851521081839872,0.09695492501487024,0.05925760540919936,0.5073766576135901,0.5176538071796976
RQMC,Direct,252,4096,5.393424252749246,0.0770114162599203,0.2889534500136506,0.03850570812996015,0.4770146580171266,0.4816544950885077
RQMC,Direct,252,16384,5.365592483188036,0.04383219206303385,1.0411255999933928,0.021916096031516924,0.44918288845591636,0.45078399824903725
RQMC,Direct,252,65536,5.34884603756768,0.021049876187624883,4.10600157501176,0.010524938093812441,0.43243644283556026,0.43282051714066
RQMC,Direct,504,1024,5.22249309086021,0.2594771893238805,0.19115037497249432,0.12973859466194024,0.3060834961280907,0.37971491337128244
RQMC,Direct,504,4096,5.1624853960443,0.10134468757634627,0.5640102500037756,0.05067234378817313,0.24607580131218043,0.26125918025285144
RQMC,Direct,504,16384,5.204118869416266,0.028002535318955368,2.087114774971269,0.014001267659477684,0.287709274684147,0.28872951568465416
RQMC,Direct,504,65536,5.232265031950202,0.011269465053649499,8.179635249980493,0.0056347325268247496,0.31585543721808307,0.31600618324990526
