method,replication,greek,bump,estimate,analytic_fd,error_vs_analytic
Direct,5,Vega per vol point,0.005,0.09485621409573763,0.01708216570558463,0.077774048390153
Direct,5,Vega per vol point,0.01,0.08504426638844276,0.01715752906885548,0.06788673731958728
Bernoulli bridge,5,Delta,0.001,0.9179512905959353,0.9522425621447539,-0.034291271548818614
Bernoulli bridge,5,Gamma,0.001,-0.056868741533300224,-0.009371690172343959,-0.04749705136095626
Bernoulli bridge,5,Delta,0.0025,0.9785129944468665,0.9522568488218823,0.02625614562498413
Bernoulli bridge,5,Gamma,0.0025,-0.1133932537906901,-0.009372345575741292,-0.1040209082149488
Bernoulli bridge,5,Delta,0.005,0.999609450903324,0.9523078749804235,0.04730157592290052
Bernoulli bridge,5,Gamma,0.005,-0.08546932981812105,-0.009374686255810616,-0.07609464356231044
Bernoulli bridge,5,Delta,0.01,0.9589329645495404,0.9525120157151026,0.0064209488344377785
Bernoulli bridge,5,Gamma,0.01,0.002591540074292187,-0.009384048060720573,0.01197558813501276
Bernoulli bridge,5,Delta,0.02,0.9690272494256909,0.9533291555456804,0.015698093880010422
Bernoulli bridge,5,Gamma,0.02,0.004991739808999807,-0.009421480644813407,0.014413220453813214
Bernoulli bridge,5,Vega per vol point,0.0025,0.04038469617869822,0.017063382381117265,0.023321313797580956
Bernoulli bridge,5,Vega per vol point,0.005,0.028839480405708606,0.01708216570558463,0.011757314700123978
Bernoulli bridge,5,Vega per vol point,0.01,0.011565888164149829,0.01715752906885548,-0.0055916409047056526
Conditional weight,5,Delta,0.001,0.972570924192615,0.9522425621447539,0.020328362047861148
Conditional weight,5,Gamma,0.001,0.005017883712277182,-0.009371690172343959,0.01438957388462114
