sampling,method,monitoring_steps,sample_size,estimate,runtime_seconds,replication,seed,error_vs_analytic
MC,Bernoulli bridge,52,1024,4.684488854617024,0.009807200054638088,0,20312804,-0.23192074011509511
MC,Conditional weight,52,1024,4.770218673221329,0.009807200054638088,0,20312804,-0.14619092151079016
MC,Direct,52,4096,5.804619004950208,0.035385900060646236,0,20312804,0.8882094102180886
MC,Bernoulli bridge,52,4096,4.889670973600998,0.035385900060646236,0,20312804,-0.026738621131121576
MC,Conditional weight,52,4096,4.920711186208781,0.035385900060646236,0,20312804,0.004301591476661315
MC,Direct,52,16384,5.805611156254943,0.14015840005595237,0,20312804,0.8892015615228237
MC,Bernoulli bridge,52,16384,4.903342117418405,0.14015840005595237,0,20312804,-0.01306747731371427
MC,Conditional weight,52,16384,4.916365048841627,0.14015840005595237,0,20312804,-4.4545890492742046e-05
MC,Direct,52,65536,5.799246027153888,0.5801691999658942,0,20312804,0.8828364324217688
MC,Bernoulli bridge,52,65536,4.894535264152977,0.5801691999658942,0,20312804,-0.02187433057914223
MC,Conditional weight,52,65536,4.890435360736708,0.5801691999658942,0,20312804,-0.02597423399541121
MC,Direct,52,1024,5.800990063258549,0.008048800053074956,1,20312805,0.8845804685264298
MC,Bernoulli bridge,52,1024,4.851336425107757,0.008048800053074956,1,20312805,-0.06507316962436249
MC,Conditional weight,52,1024,4.8738451895275965,0.008048800053074956,1,20312805,-0.04256440520452287
MC,Direct,52,4096,6.114859764045631,0.035565100028179586,1,20312805,1.198450169313512
MC,Bernoulli bridge,52,4096,5.196797146793428,0.035565100028179586,1,20312805,0.28038755206130883
MC,Conditional weight,52,4096,5.212091099406694,0.035565100028179586,1,20312805,0.2956815046745742
MC,Direct,52,16384,5.888173368639555,0.14314920001197606,1,20312805,0.9717637739074361
MC,Bernoulli bridge,52,16384,4.944806345247312,0.14314920001197606,1,20312805,0.02839675051519297
MC,Conditional weight,52,16384,4.932737253718988,0.14314920001197606,1,20312805,0.016327658986869054
MC,Direct,52,65536,5.813767280375226,0.5581637000432238,1,20312805,0.8973576856431063
